E-Resources,Link
McGraw hill Express Library:,http://mcgrawhilleducation.pdn.ipublishcentral.com/
PEARSON EDUCATION INDIA LTD. e-BOOKS,https://digital-library.pearson-intl.com/
NATIONAL DIGITAL LIBRARY OF INDIA,https://ndl.iitkgp.ac.in/
NPTEL:Courses:,https://nptel.ac.in/course.html
Koha LIBRARY MANAGEMENT SYSTEM WEB OPAC(online public access catalog),WEB OPAC(online public access catalog)
