0,1,2,3
5.0,Course,:,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)
,Intake,:,180
,Programme Duration,:,4 Yrs
,Year of Commencement,:,2021
