0,1,2,3,4
Branch,Titles,Volumes,e-Books,National Jr./Mag.
Civil Engineering,521,3806,22,08
Mechanical Engineering.,617,4237,46,09
Elect. & Telecom’n.engg.,580,4239,84,09
Comp. Engineering.,534,3492,84,08
I.T. Engineering,535,3673,84,08
**H & AS,387,2660,11,13
Total,3174,22107,163,55
